graph,N,d_mean,d_max,initial_E,epsilon,peak_I,peak_t,wall_mean
er,1000,8.0300,18,10,0.005,0.368250,24.000,0.9647
er,1000,8.0300,18,10,0.03,0.363300,24.500,0.1768
er,1000,8.0300,18,10,0.1,0.369700,24.500,0.0993
er,10000,7.9390,20,100,0.005,0.371740,24.500,1.2822
er,10000,7.9390,20,100,0.03,0.374675,24.500,0.2276
er,10000,7.9390,20,100,0.1,0.374565,24.500,0.1069
er,100000,8.0233,23,1000,0.005,0.375615,24.000,1.5481
er,100000,8.0233,23,1000,0.03,0.375851,24.000,0.2743
er,100000,8.0233,23,1000,0.1,0.377186,24.500,0.1164
ba,1000,7.9680,124,10,0.005,0.390600,17.000,0.9443
ba,1000,7.9680,124,10,0.03,0.392250,17.000,0.1719
ba,1000,7.9680,124,10,0.1,0.400400,17.500,0.0992
ba,10000,7.9968,382,100,0.005,0.395670,16.500,1.2604
ba,10000,7.9968,382,100,0.03,0.397570,16.500,0.2254
ba,10000,7.9968,382,100,0.1,0.401705,17.000,0.1095
ba,100000,7.9997,1222,1000,0.005,0.397813,16.500,1.9513
ba,100000,7.9997,1222,1000,0.03,0.398318,16.500,0.3221
ba,100000,7.9997,1222,1000,0.1,0.399868,16.500,0.1386
fixed,1000,4.0000,8,10,0.005,0.095100,27.000,0.6974
fixed,1000,4.0000,8,10,0.03,0.097900,29.000,0.1346
fixed,1000,4.0000,8,10,0.1,0.093250,28.500,0.0953
fixed,10000,4.0000,8,100,0.005,0.092645,28.000,0.9374
fixed,10000,4.0000,8,100,0.03,0.093110,28.000,0.1733
fixed,10000,4.0000,8,100,0.1,0.093570,29.500,0.0972
fixed,100000,4.0000,8,1000,0.005,0.096274,27.500,1.1883
fixed,100000,4.0000,8,1000,0.03,0.096498,27.500,0.2143
fixed,100000,4.0000,8,1000,0.1,0.098167,28.000,0.0995
