strategy,mixed,trial,nups_per_s,wall_s,final_S,final_E,final_I,final_R
merge,0,0,1760262525.5536654,1.4202426988631487,4189,528,22394,972889
merge,0,1,1814133027.5455663,1.4056301061064005,4230,377,17814,977579
merge,0,2,1827639615.5940695,1.4225999359041452,4179,397,18308,977116
merge,0,3,1822348970.6560774,1.3718557972460985,4217,423,18436,976924
merge,0,4,1825373199.9696097,1.3421912845224142,4142,515,20614,974729
merge,1,0,1781091521.0434046,1.4036336541175842,4319,534,22016,973131
merge,1,1,1847102966.9565425,1.3534708376973867,4245,485,20076,975194
merge,1,2,1836319966.9529219,1.4158752541989088,4186,363,17002,978449
merge,1,3,1842672529.0839899,1.3567250613123178,4256,313,15778,979653
merge,1,4,1839519851.0057623,1.3318692911416292,4155,434,18266,977145
