N,config,events_per_s
100,fused_cg_base,9826.115348737745
100,fused_cg_mixed,9840.22489869115
1000,fused_cg_base,71923.37244247708
1000,fused_cg_mixed,71026.66591823762
10000,fused_cg_base,677366.3962119828
10000,fused_cg_mixed,683909.9939011543
100000,fused_cg_base,3029147.50566935
100000,fused_cg_mixed,3051268.875036765
1000000,fused_cg_base,5307277.261410417
1000000,fused_cg_mixed,6086231.881378866
10000000,fused_cg_base,1332906.7831557733
10000000,fused_cg_mixed,3094503.4331405126
