layout,trial,nups_per_s,wall_s,final_S,final_E,final_I,final_R
raw,0,1823895876.2067466,1.3432784359902143,4238,333,16775,978654
raw,1,1888420416.57698,1.270903438096866,4249,448,20080,975223
raw,2,1889119794.1699471,1.3233676380477846,4226,521,21385,973868
raw,3,1889042851.4665194,1.3234215402044356,4217,283,14924,980576
raw,4,1888307846.7665994,1.270979201886803,4249,456,20682,974613
rcm,0,1916742046.02857,1.2521246690303087,4302,511,21444,973743
rcm,1,1949398112.5089324,1.2567981800530106,4240,377,17486,977897
rcm,2,1948447442.9339561,1.2574113861192018,4378,474,19778,975370
rcm,3,1948923609.31871,1.2571041719056666,4308,434,19174,976084
rcm,4,1948152170.8762677,1.2576019659172744,4259,537,22217,972987
