config_name,engine_type,num_nodes,num_edges,epsilon,steps_per_launch,sparse_hazard,compute_multiplier,total_wall_time_s,steps_executed,time_per_step_ms,steps_per_second,estimated_flops_per_step,estimated_bytes_per_step,arithmetic_intensity,achieved_gflops,memory_bound_ceiling_gflops,compute_bound_ceiling_gflops,efficiency_percent
markov_aggressive,markovian,1000000,7500000,0.2,1,True,1,0.40749502112157643,500,0.8149900422431529,1227.008856755638,37500000,80000004,0.46874997656250117,46.01283212833642,955.7812022109399,19500.0,4.814159560985113
markov_baseline,markovian,1000000,7500000,0.1,1,True,1,0.3935194530058652,500,0.7870389060117304,1270.585218038885,37500000,80000004,0.46874997656250117,47.64694567645818,955.7812022109399,19500.0,4.985131070399787
renewal_baseline,renewal,1000000,7500000,0.03,1,True,1,0.7430005671922117,500,1.4860011343844235,672.946996379145,73500000,112000004,0.6562499765625008,49.461604233867156,1338.0937022109392,19500.0,3.696423064553812
renewal_batched_10,renewal_cuda_graph,1000000,7500000,0.03,10,True,1,2.701127275824547,5000,0.5402254551649093,1851.0790086608188,73500000,112000004,0.6562499765625008,136.0543071365702,1338.0937022109392,19500.0,10.167771278780174
renewal_batched_100,renewal_cuda_graph,1000000,7500000,0.03,100,True,1,26.72480412805453,50000,0.5344960825610906,1870.9211023744115,73500000,112000004,0.6562499765625008,137.51270102451923,1338.0937022109392,19500.0,10.276761694439356
renewal_batched_50,renewal_cuda_graph,1000000,7500000,0.03,50,True,1,13.414113798877224,25000,0.536564551955089,1863.7086560345513,73500000,112000004,0.6562499765625008,136.98258621853952,1338.0937022109392,19500.0,10.237144528234642
renewal_compute_bound,renewal_cuda_graph,1000000,7500000,0.03,50,False,20,85.80211038794369,25000,3.4320844155177475,291.3681247112172,2240500000,112000004,20.00446357126916,652.8102834154821,40789.101221817815,19500.0,3.3477450431563187
renewal_compute_heavy,renewal_cuda_graph,1000000,7500000,0.03,50,False,2,17.199362837010995,25000,0.6879745134804397,1453.5422176339555,260500000,112000004,2.325892774075258,378.6477476936454,4742.495366339451,19500.0,7.984145865089352
renewal_dense,renewal,1000000,7500000,0.03,1,False,1,0.4527246879879385,500,0.905449375975877,1104.4239761303254,150500000,112000004,1.3437499520089302,166.21580840761396,2739.9061521462086,19500.0,6.066478163035427
renewal_large_tau,renewal,1000000,7500000,0.1,1,True,1,0.7389488429762423,500,1.4778976859524846,676.6368264224691,73500000,112000004,0.6562499765625008,49.73280674205147,1338.0937022109392,19500.0,3.7166908909202467
renewal_ridge_16,renewal_cuda_graph,1000000,7500000,0.03,50,False,16,67.73333490989171,25000,2.7093333963956683,369.09447959794795,1800500000,112000004,16.075892283003846,664.5546105161052,32778.74436504484,19500.0,3.4079723616210518
renewal_ridge_8,renewal_cuda_graph,1000000,7500000,0.03,50,False,8,38.49912033393048,25000,1.539964813357219,649.3654863580538,920500000,112000004,8.218749706473226,597.7409301925885,16758.030651498906,19500.0,3.566892450689748
renewal_small_tau,renewal,1000000,7500000,0.01,1,True,1,0.7397673251107335,500,1.479534650221467,675.888192176042,73500000,112000004,0.6562499765625008,49.677782124939085,1338.0937022109392,19500.0,3.712578726202524
