N,config,events_per_s
100,fused_cg_base,10267.46747792227
100,fused_cg_mixed,10575.982966115167
1000,fused_cg_base,74180.50046664306
1000,fused_cg_mixed,85366.98355984208
10000,fused_cg_base,715717.5503792167
10000,fused_cg_mixed,720922.3522079987
100000,fused_cg_base,3055882.323761685
100000,fused_cg_mixed,3182635.7571597476
1000000,fused_cg_base,5322922.811610977
1000000,fused_cg_mixed,6212253.776378117
10000000,fused_cg_base,1314695.7387173492
10000000,fused_cg_mixed,3047924.153813646
