engine,N,events_per_sec
PYTHON,100,1026.7
PYTHON,1000,1577.0
PYTHON,10000,72.7
MATLAB,100,1917.1
MATLAB,1000,2010.1
MATLAB,10000,4.5
GPU (original),100,266.4
GPU (original),1000,1966.0
GPU (original),10000,14489.5
GPU (original),100000,54239.3
GPU (original),1000000,42893.4
GPU (RenewalEngine),100,293.8
GPU (RenewalEngine),1000,3063.0
GPU (RenewalEngine),10000,20968.8
GPU (RenewalEngine),100000,178049.9
GPU (RenewalEngine),1000000,1272532.6
GPU (RenewalEngine),10000000,644302.5
GPU CUDAGraph,100,2813.9
GPU CUDAGraph,1000,15988.5
GPU CUDAGraph,10000,112935.3
GPU CUDAGraph,100000,771102.3
GPU CUDAGraph,1000000,1806890.6
GPU CUDAGraph,10000000,684100.9
NonMarkov,100,386.2
NonMarkov,1000,2969.7
NonMarkov,10000,20298.9
NonMarkov,100000,172741.8
NonMarkov,1000000,1227842.4
NonMarkov,10000000,635408.8
NonMarkov CG,100,2729.1
NonMarkov CG,1000,15511.4
NonMarkov CG,10000,109650.8
NonMarkov CG,100000,753391.8
NonMarkov CG,1000000,1774457.8
NonMarkov CG,10000000,674293.7
Fused,100,1656.5
Fused,1000,12110.8
Fused,10000,94742.4
Fused,100000,702838.1
Fused,1000000,3431344.9
Fused,10000000,1209203.5
Fused CG,100,10432.4
Fused CG,1000,77021.7
Fused CG,10000,707207.2
Fused CG,100000,3062601.0
Fused CG,1000000,5345498.2
Fused CG,10000000,1314338.4
