engine,N,events_per_sec
PYTHON,100,1026.7
PYTHON,1000,1577.0
PYTHON,10000,72.7
MATLAB,100,1917.1
MATLAB,1000,2010.1
MATLAB,10000,4.5
GPU (original),100,266.4
GPU (original),1000,1966.0
GPU (original),10000,14489.5
GPU (original),100000,54239.3
GPU (original),1000000,42893.4
GPU (RenewalEngine),100,311.4
GPU (RenewalEngine),1000,3267.0
GPU (RenewalEngine),10000,22350.3
GPU (RenewalEngine),100000,188590.0
GPU (RenewalEngine),1000000,1322930.1
GPU (RenewalEngine),10000000,755930.1
GPU CUDAGraph,100,2717.4
GPU CUDAGraph,1000,15795.8
GPU CUDAGraph,10000,116776.2
GPU CUDAGraph,100000,777103.9
GPU CUDAGraph,1000000,1811158.3
GPU CUDAGraph,10000000,849311.3
NonMarkov,100,413.6
NonMarkov,1000,3165.5
NonMarkov,10000,21586.0
NonMarkov,100000,183359.0
NonMarkov,1000000,1281194.2
NonMarkov,10000000,746833.1
NonMarkov CG,100,2614.3
NonMarkov CG,1000,15370.1
NonMarkov CG,10000,113473.4
NonMarkov CG,100000,761116.7
NonMarkov CG,1000000,1779382.5
NonMarkov CG,10000000,838708.6
Fused,100,1350.4
Fused,1000,10389.3
Fused,10000,76897.7
Fused,100000,582328.7
Fused,1000000,3365001.2
Fused,10000000,1048401.9
Fused CG,100,9091.8
Fused CG,1000,71096.0
Fused CG,10000,578859.8
Fused CG,100000,2813840.6
Fused CG,1000000,5860999.2
Fused CG,10000000,1316514.6
